product_family,contract_name,chain,deployed_address,scope_tier,description,likely_proxy_type,source_availability,implementation_address,current_implementation_bytecode_hash,priority_score,priority_bucket,audit_status
Account Policies,PolicyManager,Base,0x75b3015780776952102a8bFA6202d2e3c1F4EFc5,Tier 1,PolicyManager listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoLendPolicy,Base,0x015Cf8dbB7F1045280B96d0afd308dFa7AcB84F0,Tier 1,MorphoLendPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoLoanProtectionPolicy,Base,0x001B6f938eA6D0A57D02B3e9503b958149A2a7e3,Tier 1,MorphoLoanProtectionPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoWETHLoanProtectionPolicy,Base,0xe14A101ADF9AE492Dd8e9D2ED7763460A6AE8Cd7,Tier 1,MorphoWETHLoanProtectionPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,PublicERC6492Validator,Base,0xBde308aEFDdF0fc0bd2156348F380719620d65Cc,Tier 1,PublicERC6492Validator listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Base AppChains,DeployChain,Base,0xe8c6D9460Ce61D260260d27f30bde8b8d1a8341e,Tier 1,DeployChain listed under Base AppChains in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Base AppChains,SuperchainConfig,Base,0xc5b0B126fFD9D36084af85359a07Fb798A405aDc,Tier 1,SuperchainConfig listed under Base AppChains in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,OpenEdition721Mint,Base,0x75D2eA122cC20B6e661775Ac18ffF0B4547B9fe6,Tier 1,OpenEdition721Mint listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,37,Medium priority,inventory_parsed_not_reviewed
Basenames,EARegistrarController,Base,0xd3e6775Ed9B7dC12B205C8E608Dc3767B9e5eFdA,Tier 1,EARegistrarController listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
Basenames,L2Resolver,Base,0xC6d566A56A1aFf6508b41f6c90ff131615583BCD,Tier 1,L2Resolver listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
